"","obs","pred"
"132848",5.3,6.57180438621995
"143730",8.19,6.07736020151495
"169778",8.33,7.91433298211892
"171545",7.65,10.2070639100833
"181260",7.31,8.05822817253488
"184452",4.76,8.33123624617319
"197059",5.43,8.00130037843555
"224057",7.65,5.09841199051808
"230479",5.28,5.27376766087483
"233232",7.32,6.063513569525
"239667",13.11,8.6236728857008
"307339",8.31,6.43191635395877
"339284",6.71,8.75279578664228
"387879",4.19,7.52146591658309
"427146",7.56,7.42959917050948
"436457",3.91,8.24825153465429
"462928",11.09,10.2145901063478
"471788",7.76,9.8911312800202
"472789",10.85,8.54616460921001
"482305",6.5,9.15969603935902
"506700",8.44,9.40351057151497
"519446",5.53,7.08826624183175
"533621",6.59,6.27028939766609
"539068",15.91,10.0602892034528
"554271",4.87,8.5089675739793
"633482",12.56,8.9678930738164
"636300",12.3,10.0687121005787
"667335",8.62,7.60901000082414
"691534",10.08,7.9075240146179
"692563",7.99,8.47031916183014
"698443",7.14,7.00315599543196
"709288",6.25,6.26785761704708
"710992",5.54,6.08252846490998
"731392",5.61,6.53166531260911
"746016",12.95,10.7524903634036
"778292",6.29,5.65954884648653
"779710",6.56,8.82334067164879
"792092",10.23,11.0017013838243
"857471",7.9,9.03436407733983
"874905",13.39,8.33381685314982
"957723",5.29,6.14155716893479
